Province,Country,uid,Date,Total Confirmed Cases,Total Deaths,Total Recovered,Active Cases,New Cases,New Deaths,New Recovered,Closed cases,Death Rate Based on Confirmed cases,Death Rate Based on Closed cases,Lat Lang,Benchmark
Hainan,China,China - Hainan,2020-01-22,4,0,0,4,0,0,0.0,0.0,0.0,0.0,"19.1959,109.7453",0.02
,Italy,Italy,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"43.0,12.0",0.02
Cayman Islands,United Kingdom,United Kingdom - Cayman Islands,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"19.3133,-81.2546",0.02
,Jamaica,Jamaica,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"18.1096,-77.2975",0.02
,Norway,Norway,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"60.472,8.4689",0.02
,Cabo Verde,Cabo Verde,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"16.5388,-23.0418",0.02
,North Macedonia,North Macedonia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"41.6086,21.7453",0.02
,Belgium,Belgium,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"50.8333,4.0",0.02
,Nigeria,Nigeria,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"9.082,8.6753",0.02
,Slovenia,Slovenia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"46.1512,14.9955",0.02
,Cambodia,Cambodia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"11.55,104.9167",0.02
,Niger,Niger,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"17.6078,8.0817",0.02
,Somalia,Somalia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"5.1521,46.1996",0.02
,Nicaragua,Nicaragua,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"12.8654,-85.2072",0.02
,South Africa,South Africa,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-30.5595,22.9375",0.02
,Slovakia,Slovakia,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"48.669,19.699",0.02
,New Zealand,New Zealand,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"-40.9006,174.886",0.02
,Belarus,Belarus,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"53.7098,27.9534",0.02
,Netherlands,Netherlands,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"52.1326,5.2913",0.02
Sint Maarten,Netherlands,Netherlands - Sint Maarten,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"18.0425,-63.0548",0.02
,Spain,Spain,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"40.0,-4.0",0.02
Curacao,Netherlands,Netherlands - Curacao,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"12.1696,-68.99",0.02
Alberta,Canada,Canada - Alberta,2020-01-22,0,0,17,0,0,0,0.0,0.0,0.0,0.0,"53.9333,-116.5765",0.02
,Sri Lanka,Sri Lanka,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"7.0,81.0",0.02
Aruba,Netherlands,Netherlands - Aruba,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"12.5186,-70.0358",0.02
,Nepal,Nepal,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"28.1667,84.25",0.02
British Columbia,Canada,Canada - British Columbia,2020-01-22,0,0,17,0,0,0,0.0,0.0,0.0,0.0,"49.2827,-123.1207",0.02
,Barbados,Barbados,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"13.1939,-59.5432",0.02
,Cameroon,Cameroon,2020-01-22,0,0,0,0,0,0,0.0,0.0,0.0,0.0,"3.8480000000000003,11.5021",0.02
